ProductId,ListPrice,BasePriceInStock,PriceInStock06211,PriceInStock11975,PriceInStock05229,PriceInStock04939,PriceInStock50465,PriceInStock60426,InStockDiscCriteria,InStockMarkUpCriteria,BasePriceOutStock,PriceOutStock06211,PriceOutStock11975,PriceOutStock05229,PriceOutStock04939,PriceOutStock50465,PriceOutStock60426,OutStockDiscCriteria,OutStockMarkUpCriteria,BuyingPrice66226,Timestamp
"AC00000054824            ",69.00,0.00,44.85,41.40,41.40,55.20,41.40,40.02,SC. ACCESSORI,RIC. ACCESSORI,0.00,44.85,41.40,41.40,55.20,41.40,40.02,SC. ACCESSORI,RIC. ACCESSORI,41.40,2026-05-18 16:20:58.000
"AC00000054846            ",71.00,0.00,46.15,42.60,42.60,56.80,42.60,41.18,SC. ACCESSORI,RIC. ACCESSORI,0.00,46.15,42.60,42.60,56.80,42.60,41.18,SC. ACCESSORI,RIC. ACCESSORI,42.60,2026-05-18 16:20:58.000
"AC00000053430            ",71.00,0.00,46.15,42.60,42.60,56.80,42.60,41.18,SC. ACCESSORI,RIC. ACCESSORI,0.00,46.15,42.60,42.60,56.80,42.60,41.18,SC. ACCESSORI,RIC. ACCESSORI,42.60,2026-05-18 16:20:58.000
"AC00000053434            ",71.00,0.00,46.15,42.60,42.60,56.80,42.60,41.18,SC. ACCESSORI,RIC. ACCESSORI,0.00,46.15,42.60,42.60,56.80,42.60,41.18,SC. ACCESSORI,RIC. ACCESSORI,42.60,2026-05-18 16:20:58.000
"AC00000303754            ",50.00,0.00,32.50,30.00,30.00,40.00,30.00,29.00,SC. ACCESSORI,RIC. ACCESSORI,0.00,32.50,30.00,30.00,40.00,30.00,29.00,SC. ACCESSORI,RIC. ACCESSORI,30.00,2026-05-18 16:20:58.000
"AC00000304522            ",100.00,0.00,65.00,60.00,60.00,80.00,60.00,58.00,SC. ACCESSORI,RIC. ACCESSORI,0.00,65.00,60.00,60.00,80.00,60.00,58.00,SC. ACCESSORI,RIC. ACCESSORI,60.00,2026-05-18 16:20:58.000
"ACVITISPECIAL            ",10.00,0.00,6.50,6.00,6.00,8.00,6.00,5.80,SC. ACCESSORI,RIC. ACCESSORI,0.00,6.50,6.00,6.00,8.00,6.00,5.80,SC. ACCESSORI,RIC. ACCESSORI,6.00,2026-05-18 16:20:58.000
"ZBI00000000B1            ",3.00,0.00,1.95,1.80,1.80,2.40,1.80,1.74,SC. ACCESSORI,RIC. ACCESSORI,0.00,1.95,1.80,1.80,2.40,1.80,1.74,SC. ACCESSORI,RIC. ACCESSORI,1.80,2026-05-18 16:20:58.000
"ZBI00000000B3            ",3.00,0.00,1.95,1.80,1.80,2.40,1.80,1.74,SC. ACCESSORI,RIC. ACCESSORI,0.00,1.95,1.80,1.80,2.40,1.80,1.74,SC. ACCESSORI,RIC. ACCESSORI,1.80,2026-05-18 16:20:58.000
"ZBI00000000B7            ",3.00,0.00,1.95,1.80,1.80,2.40,1.80,1.74,SC. ACCESSORI,RIC. ACCESSORI,0.00,1.95,1.80,1.80,2.40,1.80,1.74,SC. ACCESSORI,RIC. ACCESSORI,1.80,2026-05-18 16:20:58.000
"AC00000017542            ",60.00,17.82,27.62,24.94,24.94,32.07,24.94,27.62,SC. ACCESSORI,RIC. ACCESSORI,20.00,27.62,24.94,24.94,32.07,24.94,27.62,SC. ACCESSORI,RIC. ACCESSORI,24.94,2026-05-18 16:20:58.000
"AC00000017543            ",60.00,17.82,27.62,24.94,24.94,32.07,24.94,27.62,SC. ACCESSORI,RIC. ACCESSORI,20.00,27.62,24.94,24.94,32.07,24.94,27.62,SC. ACCESSORI,RIC. ACCESSORI,24.94,2026-05-18 16:20:58.000
"AC00000278142            ",60.00,17.82,27.62,24.94,24.94,32.07,24.94,27.62,SC. ACCESSORI,RIC. ACCESSORI,20.00,27.62,24.94,24.94,32.07,24.94,27.62,SC. ACCESSORI,RIC. ACCESSORI,24.94,2026-05-18 16:20:58.000
"AC00000278137            ",70.00,22.00,34.10,30.80,30.80,39.60,30.80,34.10,SC. ACCESSORI,RIC. ACCESSORI,22.00,34.10,30.80,30.80,39.60,30.80,34.10,SC. ACCESSORI,RIC. ACCESSORI,30.80,2026-05-18 16:20:58.000
"AC00000050437            ",60.00,17.82,27.62,24.94,24.94,32.07,24.94,27.62,SC. ACCESSORI,RIC. ACCESSORI,20.00,27.62,24.94,24.94,32.07,24.94,27.62,SC. ACCESSORI,RIC. ACCESSORI,24.94,2026-05-18 16:20:58.000
"AC00000017544            ",60.00,17.82,27.62,24.94,24.94,32.07,24.94,27.62,SC. ACCESSORI,RIC. ACCESSORI,20.00,27.62,24.94,24.94,32.07,24.94,27.62,SC. ACCESSORI,RIC. ACCESSORI,24.94,2026-05-18 16:20:58.000
"AC00000020865            ",60.00,17.82,27.62,24.94,24.94,32.07,24.94,27.62,SC. ACCESSORI,RIC. ACCESSORI,20.00,27.62,24.94,24.94,32.07,24.94,27.62,SC. ACCESSORI,RIC. ACCESSORI,24.94,2026-05-18 16:20:58.000
"AC00000278141            ",60.00,17.82,27.62,24.94,24.94,32.07,24.94,27.62,SC. ACCESSORI,RIC. ACCESSORI,20.00,27.62,24.94,24.94,32.07,24.94,27.62,SC. ACCESSORI,RIC. ACCESSORI,24.94,2026-05-18 16:20:58.000
"AC0BULLONESTD            ",3.00,0.00,1.95,1.80,1.80,2.40,1.80,1.74,SC. ACCESSORI,RIC. ACCESSORI,0.00,1.95,1.80,1.80,2.40,1.80,1.74,SC. ACCESSORI,RIC. ACCESSORI,1.80,2026-05-18 16:20:58.000
"AC00000145873            ",40.00,0.00,26.00,24.00,24.00,32.00,24.00,23.20,SC. ACCESSORI,RIC. ACCESSORI,0.00,26.00,24.00,24.00,32.00,24.00,23.20,SC. ACCESSORI,RIC. ACCESSORI,24.00,2026-05-18 16:20:58.000
"AC00000502691            ",150.00,35.00,54.25,49.00,49.00,63.00,49.00,54.25,SC. ACCESSORI,RIC. ACCESSORI,0.00,54.25,49.00,49.00,63.00,49.00,54.25,SC. ACCESSORI,RIC. ACCESSORI,49.00,2026-05-18 16:20:58.000
"AC00000502692            ",150.00,35.00,54.25,49.00,49.00,63.00,49.00,54.25,SC. ACCESSORI,RIC. ACCESSORI,0.00,54.25,49.00,49.00,63.00,49.00,54.25,SC. ACCESSORI,RIC. ACCESSORI,49.00,2026-05-18 16:20:58.000
"AC00000502693            ",150.00,35.00,35.00,35.00,35.00,35.00,35.00,35.00,SC. ACCESSORI,NULL,0.00,35.00,35.00,35.00,35.00,35.00,35.00,SC. ACCESSORI,NULL,35.00,2026-05-18 16:20:58.000
"AC00000502694            ",150.00,35.00,54.25,49.00,49.00,63.00,49.00,54.25,SC. ACCESSORI,RIC. ACCESSORI,0.00,54.25,49.00,49.00,63.00,49.00,54.25,SC. ACCESSORI,RIC. ACCESSORI,49.00,2026-05-18 16:20:58.000
"AC00000502695            ",200.00,50.00,77.50,70.00,70.00,90.00,70.00,77.50,SC. ACCESSORI,RIC. ACCESSORI,0.00,77.50,70.00,70.00,90.00,70.00,77.50,SC. ACCESSORI,RIC. ACCESSORI,70.00,2026-05-18 16:20:58.000
"AC00000502696            ",200.00,50.00,77.50,70.00,70.00,90.00,70.00,77.50,SC. ACCESSORI,RIC. ACCESSORI,0.00,77.50,70.00,70.00,90.00,70.00,77.50,SC. ACCESSORI,RIC. ACCESSORI,70.00,2026-05-18 16:20:58.000
"AC00000502697            ",200.00,50.00,77.50,70.00,70.00,90.00,70.00,77.50,SC. ACCESSORI,RIC. ACCESSORI,0.00,77.50,70.00,70.00,90.00,70.00,77.50,SC. ACCESSORI,RIC. ACCESSORI,70.00,2026-05-18 16:20:58.000
"AC00000502698            ",200.00,50.00,77.50,70.00,70.00,90.00,70.00,77.50,SC. ACCESSORI,RIC. ACCESSORI,0.00,77.50,70.00,70.00,90.00,70.00,77.50,SC. ACCESSORI,RIC. ACCESSORI,70.00,2026-05-18 16:20:58.000
"AC00000502699            ",200.00,50.00,77.50,70.00,70.00,90.00,70.00,77.50,SC. ACCESSORI,RIC. ACCESSORI,0.00,77.50,70.00,70.00,90.00,70.00,77.50,SC. ACCESSORI,RIC. ACCESSORI,70.00,2026-05-18 16:20:58.000
"ZMC0000125604            ",13.20,0.00,8.58,7.92,7.92,10.56,7.92,7.65,SC. ACCESSORI,RIC. ACCESSORI,0.00,8.58,7.92,7.92,10.56,7.92,7.65,SC. ACCESSORI,RIC. ACCESSORI,7.92,2026-05-18 16:20:58.000
"AC00000050285            ",31.00,20.00,31.00,28.00,28.00,36.00,28.00,31.00,SC. ACCESSORI,RIC. ACCESSORI,20.00,31.00,28.00,28.00,36.00,28.00,31.00,SC. ACCESSORI,RIC. ACCESSORI,28.00,2026-05-18 16:20:58.000
"AC00000055240            ",10.10,18.00,27.90,25.20,25.20,32.40,25.20,27.90,SC. ACCESSORI,RIC. ACCESSORI,18.00,27.90,25.20,25.20,32.40,25.20,27.90,SC. ACCESSORI,RIC. ACCESSORI,25.20,2026-05-18 16:20:58.000
"AC00000045658            ",6.98,4.50,6.97,6.30,6.30,8.10,6.30,6.97,SC. ACCESSORI,RIC. ACCESSORI,4.50,6.97,6.30,6.30,8.10,6.30,6.97,SC. ACCESSORI,RIC. ACCESSORI,6.30,2026-05-18 16:20:58.000
"AC00000046280            ",11.50,4.50,6.97,6.30,6.30,8.10,6.30,6.97,SC. ACCESSORI,RIC. ACCESSORI,4.60,6.97,6.30,6.30,8.10,6.30,6.97,SC. ACCESSORI,RIC. ACCESSORI,6.30,2026-05-18 16:20:58.000
"AC00000092359            ",12.40,8.00,12.40,11.20,11.20,14.40,11.20,12.40,SC. ACCESSORI,RIC. ACCESSORI,8.00,12.40,11.20,11.20,14.40,11.20,12.40,SC. ACCESSORI,RIC. ACCESSORI,11.20,2026-05-18 16:20:58.000
"AC00000046281            ",12.00,4.60,7.13,6.44,6.44,8.28,6.44,7.13,SC. ACCESSORI,RIC. ACCESSORI,4.80,7.13,6.44,6.44,8.28,6.44,7.13,SC. ACCESSORI,RIC. ACCESSORI,6.44,2026-05-18 16:20:58.000
"AC00000046282            ",15.00,5.50,8.52,7.70,7.70,9.90,7.70,8.52,SC. ACCESSORI,RIC. ACCESSORI,6.00,8.52,7.70,7.70,9.90,7.70,8.52,SC. ACCESSORI,RIC. ACCESSORI,7.70,2026-05-18 16:20:58.000
"AC00000055216            ",16.50,7.00,10.85,9.80,9.80,12.60,9.80,10.85,SC. ACCESSORI,RIC. ACCESSORI,7.00,10.85,9.80,9.80,12.60,9.80,10.85,SC. ACCESSORI,RIC. ACCESSORI,9.80,2026-05-18 16:20:58.000
"AC00000048369            ",7.75,5.00,7.75,7.00,7.00,9.00,7.00,7.75,SC. ACCESSORI,RIC. ACCESSORI,5.00,7.75,7.00,7.00,9.00,7.00,7.75,SC. ACCESSORI,RIC. ACCESSORI,7.00,2026-05-18 16:20:58.000
"AC00000045863            ",15.00,5.50,8.52,7.70,7.70,9.90,7.70,8.52,SC. ACCESSORI,RIC. ACCESSORI,6.00,8.52,7.70,7.70,9.90,7.70,8.52,SC. ACCESSORI,RIC. ACCESSORI,7.70,2026-05-18 16:20:58.000
"AC00000045862            ",15.00,6.50,10.07,9.10,9.10,11.70,9.10,10.07,SC. ACCESSORI,RIC. ACCESSORI,6.00,10.07,9.10,9.10,11.70,9.10,10.07,SC. ACCESSORI,RIC. ACCESSORI,9.10,2026-05-18 16:20:58.000
