Id;Descr
1;NERO INSERTO INOX
2;BIANCO
3;CROMO LOOK
4;DIAMANTATA
5;MATT BLACK
6;GUN METALLIC MIRROR
7;GHISA
8;GRAPHITE DIAMANTATO
9;SILVER INSERTO INOX
10;MIRROR
12;BRIGHT SILVER
13;GRAPHITE OPACO
14;NERO
15;ORO
16;POLISHED
17;BLACK POLISH
18;MATT GRAPHITE MIRROR
19;SILVER
20;BRIGHT SILVER INSERTO INOX
22;VERO CROMO
25;HYPER SILVER
26;ICE BLACK
30;BLACK MIRROR
32;GRAPHITE OPACO DIAMANTATO
33;NERO LUCIDO BORDO DIAMANTATO
34;NERO OPACO DIAMANTATO
36;ICE TITAN
37;ICE SUPERDARK
38;GRAPHITE MIRROR FACE
40;ANTHRACITE
42;DARK POLISHED
43;DARK SILVER
44;DIAMOND BLACK
45;DIAMOND BLACK POLISHED
46;DIAMOND BLACK POLISHED LIP
47;DULL BLACK
48;DULL BLACK POLISHED
49;GLOSSY BLACK
50;GLOSSY BLACK LIP POLISHED
51;GLOSSY BLACK POLISHED
52;GOLD
53;HAND POLISHED
54;HYPER ANTHRACITE
55;HYPER BLACK
56;MATT GREY POLISHED
57;MATT GM POLISHED
58;MATT GUN METAL
59;MATT SILVER
61;SILVER POLISHED
62;SILVER POLISHED LIP
63;SILVER SHINE
64;SUPER SILVER
65;TITANIUM
66;WHITE
67;DULL BRONZED POLISHED
69;WHITE ANODIZED
70;NERO OPACO
71;ANTRACITE OPACO
72;BLACK
73;MATT BLACK FULL POLISH
74;MATT BLACK POLISH
75;MATT WHITE POLISH
76;SHINY BLACK FULL POLISH
77;SHINY BLACK POLISH
78;SHINY WHITE FULL POLISH
79;SHINY WHITE POLISH
80;SILVERLOOK
81;MATT BLACK ICE FACE
82;SILVER MIRROR
83;SPECIAL EDITION
84;MATT GRAPHITE SILVER
85;SHINY WHITE BLACK FACE
86;FLAT BLACK
87;HIGH GLOSS
88;NERO DIAMANTATO
89;ANTRACITE DIAMANTATO
90;MATT RACE SILVER
91;MATT DARK GRAPHITE
92;MATT GRAPHITE
93;CHRYSTAL TITANIUM
94;MATT BLACK / DIAMOND-CUT
95;METAL SILVER / DIAMOND-CUT
96;ACID GREEN
97;MATT BLUE
98;RED
99;ORANGE
100;GRIGIO CORSA
102;GRAY SILVER
103;MATT DARK GREY
104;MATT TITAN FULL POLISHED
105;MATT TITAN
106;ANOD RED BLACK
107;SUPER DARK MIRRROR
108;MATT DARK TITAN FULL POLISHED
109;MATT ANTHRACITE POLISHED
110;MATT ANTHRACITE
112;MATT CARBON BLACK
113;MATT CARBON POLISHED
115;GRIGIO CORSA BRIGHT
116;MATT BRONZE
117;WHITE BLUE LETTERING
118;MATT SILVER TECH
119;MATT DARK TITANIUM
120;GUN METAL
122;KRISTAL SILVER
123;SHINY DARK
124;GRAPHITE LUCIDO
125;GRAPHITE LUCIDO DIAMANTATO
126;BLACK AND RED
127;DARK GUN FULL
128;SILVER SPECIAL FULL
129;BLACK - MIRROR LIP
131;GLOSS BLACK FULL POLISHED
132;SATIN SILVER
133;ANTRACITE DIAMANTATO NERO
134;SILVER DIAMANTATO NERO
135;MATT BLACK MIRROR
136;FUME' BLACK FULL POLISHED
137;RACE GOLD BLUE LETTERING
138;RINGE BLACK
139;ANTRACITE POLISHED
140;BLACK POLISHED
141;GUNMETAL POLISHED LIP
142;BLACK DIAMOND LIP
143;MATT TITANIUM TECH DIAMOND LIP
144;RACE WHITE DIAMOND LIP
145;RACE GOLD
146;DARK GRAHPITE SILVER LETTERING
147;WHITE RED LETTERING
148;ANTHRACITE OPACO DIAMANTATO
149;GUNMETAL MATT POLISHED LIP
150;GUN METAL POLISHED
151;DARK GREY
152;DIAMANT SCHWARZ
153;DIAMANT SCHWARZ FRONTPOLIERT
154;DIAMANT SILBER
155;GRAPHIT
156;METAL GREY
157;POLAR SILBER
158;RACING BLACK
159;RACING SCHWARZ
160;DIAMOND BLACK KONTOUR POLISHED
161;BLACK LIP POLISHED
162;ANTRACITE LIP POLISHED
163;GOLDEN BRONZE
164;STURDUST GLOSSY BLACK
165;TITAN ICE
166;TITAN SILVER BRUSHED
167;DARK ANTHR GLOSS
168;DARK ANTHRACITE
169;DARK ANTHRACITE GLOSS POLISHED
170;DARK ANTHRACITE POLISHED
171;SILVER GLOSS POLISHED
172;GLOSS BLACK MIRROR RING
173;HYBRID SILVER
174;GUNMETAL
175;ANTHRACITE SPECIAL EDITION
176;BLACK POLISH SPECIAL EDITION
177;CERAMIC
178;CERAMIC MATT POLISH
179;CERAMIC SHINY POLISH
180;GOLD LIP POLISH SHINY
181;GOLD MATT FULL POLISH
182;GOLD SHINY
183;GOLD SHINY FULL POLISH
184;SHINY ANTHRACITE LIP FACE POLISH
185;SHINY ANTHRACITE LIP POLISH
186;SHINY ANTHRACITE POLISH
187;SHINY BLACK
188;SHINY BLACK FACE POLISH
189;SHINY GOLD LIP - FACE POLISH
190;SHINY SILVER LIP POLISH
191;SILVER LIP+FACE POLISH SHINY
192;SILVER MATT POLISH
193;SILVER SHINY FULL POLISH
194;ANTHRACITE SPECIAL EDITION SHINY
196;DULL BLACK F POLISHED
197;DULL BLACK R POLISHED
198;ANTRACITE DIAMANTE LUCIDO
199;ANTRACITE LUCIDO
200;NERO BORDO DIAMANTE
201;NERO DIAMANTE
202;BRONZE
203;MATT BLACK LIP POLISH
204;MATT BLACK LIP POLISH + RIVETS
205;MATT DARK GRAPHITE
206;MATT DARK GREY LIP POLISHED
207;RALLY BRONZE
208;BLACK FULL POLISHED
209;FULL SILVER
210;MATT GUN METAL FULL POLISHED
211;MATT TITANIUM
212;MATT TITANIUM FULL POLISHED
213;GLOSS BLACK+DIAMOND LIP
214;GLOSS GUN METAL
215;GLOSS GUN METAL FULL POLISHED
216;GLOSS DARK GREY FULL POLISHED
217;GLOSS DARK GREY
218;GLOSS BLACK + RED LETTERING
219;GLOSS BLACK+DIAMOND LIP+SILVER LETTERING
220;GLOSS BRONZE BLACK LETTERING
221;MATT BLACK SILVER LETTERING
222;STAR GRAPHITE DIAMOND LIP
223;STAR SILVER
224;TITANIUM TECH
225;WHITE GOLD
226;BLACK DIAMOND
227;MATT ANTHRACITE DIAMOND
228;GLOSSY ANTHRACITE
229;M-TITAN
230;CERAMIC SHINY FULL POLISH
231;MATT ANTHRACITE FULL POLISH
232;MATT ANTHRACITE LIP POLISH
233;MATT ANTHRACITE LIP+FACE POLISH
234;MATT ANTHRACITE SPECIAL EDITION
235;MATT BLACK FACE POLISH
236;MATT BLACK LIP + FACE POLISH
237;MATT BLACK LIP POLISH
238;MATT GOLD FACE POLISH
239;MATT GOLD FULL POLISH
240;MATT GOLD LIP POLISH
241;MATT GOLD LIP+FACE POLISH
242;MATT GOLD SPECIAL EDITION
243;MATT SILVER FULL POLISH
244;MATT SILVER LIP + FACE POLISH
245;MATT SILVER SPECIAL EDITION
246;MATT WHITE FULL POLISH
247;SHINY ANTHRACITE FULL POLISH
248;SHINY ANTHRACITE LIP POLISH
249;SHINY ANTHRACITE LIP+FACE POLISH
250;SHINY ANTHRACITE SPECIAL EDITION
251;SHINY BLACK
252;SHINY BLACK FACE POLISH
253;SHINY BLACK LIP POLISH
254;SHINY BLACK SPECIAL EDITION
255;SHINY GOLD
256;SHINY GOLD FULL POLISH
257;SHINY GOLD LIP POLISH
258;SHINY GOLD LIP+FACE POLISH
259;SHINY GOLD SPECIAL EDITION
260;SHINY SILVER FULL POLISH
261;SHINY SILVER LIP POLISH
262;SHINY SILVER LIP+FACE POLISH
263;SHINY SILVER SPECIAL EDITION
264;GLOSSY SILVER
265;GLOSSY BLACK MACHINED
266;GLOSSY TITANIUM MACHINED
267;MATT BLACK MACHINED
268;GLOSSY GOLD
269;GLOSSY TITANIUM
270;MATT TITANIUM DIAMOND CUT
271;MATT BLACK DIAMOND CUT (FRONT FACE)
272;GLOSSY BLACK DIAMOND CUT LIP
273;MATT BLACK DIAMOND CUT LIP
274;SATIN BLACK MATT
275;HIGH GLOSS POLISHED
276;DARK TOUCH
277;GUN METALLIC
278;GLOSS BLACK + RED LETTERING
279;GLOSS BLACK DIAMOND CUT
280;GLOSS BLACK SILVER LETTERING
281;GLOSS BLACK+DIAMOND LIP+SILVER LETTERING
282;RACE WHITE RED LETTERING
283;CHROME LOOK
284;MATT BLACK MACHINED LIP
285;VINTAGE WHITE
286;RACING SCHWARZ HORNPOLIERT
287;RACING SCHWARZ TEILPOLIERT
288;RALLYE WEISS
289;ROYAL SILBER
290;BLACK AND BRONZE
291;PALLADIUM
292;PALLADIUM POLISHED
293;CRYSTAL SILVER
294;PALLADIUM MATT POLISHED
295;BLACK MATT
296;PALLADIUM MATT
297;PALLADIUM LIP POLISHED
298;MAG MATT ANTHRACITE POLISHED
299;NERO SABBIATO
300;TITAN SILVER OPACO DIAMANTATO
301;TITAN ICE POLISHED
302;BRAUN MATT
303;GLOSSY BLACK PARTIAL MACHINED
304;BLACK CAP ROSSO
305;GREY MATT
306;GLOSS BLACK
307;ARMY GREEN
308;BLACK ORANGE MATT
309;LIGHT TITAN
310;LUCI DI PORTOFINO
311;GLOSS WHITE
313;MATT GRAPHITE SILVER LETTERING
314;BLACK COPPER
315;GLOSS BLACK LIP POLISHED
316;GLOSSY BLACK BRONZE MACHINED
317;BLACK POLISHED LIP
318;GLOSSY WHITE
319;RACING SCHWARZ HORNPOLIERT
320;METALLIC BROWN
321;MATT GRAPHITE - BLACK LIP
322;MATT BLACK SILVER LET. DIAMOND LIP
323;MATT BLACK WHITE LETTERING
324;MATT BRAUN BLACK LIP
325;ANOD WHITE BLACK
326;ICE STEP BLACK
327;MATT GUN METALLIC
328;MATT TITAN LIP
329;ORANGE ON BLACK
330;WHITE AND BLACK
331;WHITE MIRROR
332;MATT GOLD
333;BLACK CLEARCOAT GLOSSY GOLD MACHINED
334;RACING SCHWARZ FRONTPOLIERT
335;GRAPHIT FRONTPOLIERT
336;METALLIC BRONZE
337;STEEL GREY MATT
338;NERO LUCIDO
339;ARGENTO LUCIDO
340;METAL BRONZE
341;BLACK COPPER POLISHED
342;HYPER TITANIUM
343;SATIN BLACK
344;MATT WHITE
345;STEP-BLACK MIRROR
346;BLACK MIRROR DARK
347;PIANO BLACK DIAMOND
348;MOON GREY DIAMOND
349;PIANO BLACK
350;STONE BRONZE
351;SILVER ICE
352;PIANO BLACK CHAMPAGNE
353;SATIN CHAMPAGNE
354;NERO CORSA
355;BIANCO CORSA
356;ORO CORSA
357;CERAMIC POLISHED
358;GRIGIO CORSA CON SCRITTE DI FRESATURA
359;HAND BRUSHED MATT BRONZE
360;MATT BLACK CON SCRITTE DI FRESATURA
361;MATT BLACK COPPER FP
362;NERO-MATT DARK GRAPHITE
363;TITAN SILVER OPACO
364;GLOSS BLACK POLISHED
365;GLOSS BLACK DARK POLISHED
366;DARK GREY FRONTPOLISHED
368;BLACK MATT POLISHED
369;CRYSTAL SILVER POLISHED
370;MATT ANTHRACITE LIP+CAP POLISH
371;MATT BLACK LIP+CAP POLISH
372;MATT GOLD LIP+CAP POLISH
373;MATT SILVER LIP POLISH
374;MATT SILVER LIP+CAP POLISH
375;CHAMPAGNE
376;NERO CORSE MATT
377;NERO CORSE MATT BLACK
378;BLACK MIRROR LIP
379;NERO LUCIDO DIAMANTATO
380;MATT BLACK MACHINED NO CLEARCOAT MACHINED LIP
381;MATT CLEARCOAT 20 GLOSS MACHINED
383;MATT GOLD MACHINED LIP
384;MATT SILVER MACHINED LIP
385;MATT TITANIUM BLACK LIP
386;MATT TITANIUM MACHINED LIP
1012;SUPERPOLISH
1013;NERO
1016;BLACK POLISH
1018;SILVER
1022;NEUTRO
1023;MATT BLACK
1024;MATT BRONZE
